item_id,grade,options,irt_a,irt_b,prp_crt,key,prp_choosing,option
20027,11,0,0.45847,1.47695,0.372224847,0,0.372224846,"Students who participate in sports also learn teamwork, confidence, and they learn to manage their time better."
20027,11,1,0.45847,1.47695,0.372224847,0,0.205951819,"My autumn Saturday work projects usually include raking the leaves, cleaning out the rain gutters, and putting away the garden hoses."
20027,11,2,0.45847,1.47695,0.372224847,0,0.243268777,"In order to achieve academic success, a student needs to study for tests, not have many absences, and complete all assigned readings."
20027,11,3,0.45847,1.47695,0.372224847,0,0.178554558,"Hoping to get in better physical shape, Janet started her workout program by jogging a mile a day, carrying light weights around the house, and eating healthier foods."
22797,5,0,0.4276,0.7164,0.349313148,3,0.323521166,"You will be happy to learn Ms. Smith, that you have won the contest."
22797,5,1,0.4276,0.7164,0.349313148,3,0.191197084,"You will be happy to learn, Ms. Smith that you have won the contest."
22797,5,2,0.4276,0.7164,0.349313148,3,0.135968601,"You, will be happy to learn Ms. Smith, that you have won the contest."
22797,5,3,0.4276,0.7164,0.349313148,3,0.349313148,"You will be happy to learn, Ms. Smith, that you have won the contest."
26465,5,0,0.10508,1.51957,0.421829807,0,0.421829807,Frank's favorite book is The Lightning Thief by Rick Riordan.
26465,5,1,0.10508,1.51957,0.421829807,0,0.075810626,Ms. Johnson's favorite poem is The Road not Taken by Robert Frost.
26465,5,2,0.10508,1.51957,0.421829807,0,0.290911859,"My sisters want to see ""Little Women,"" a play adapted from the book by Louisa May Alcott."
26465,5,3,0.10508,1.51957,0.421829807,0,0.211447709,"I am reading The Celebrated Jumping Frog of Calaveras County, a short story by Mark Twain."
29179,4,0,0.19267,1.71959,0.314230136,2,0.370791561,"I have been helping my scout troop collect pet food for the animal shelter in our town. My mom helped me set up plastic tubs around our neighborhood. Each tub has a sign asking for donations. Every Monday, I stop by the tubs to see what is there. By next week, I had collected over one hundred cans and bags of food. I cannot wait until we deliver the food to the shelter!"
29179,4,1,0.19267,1.71959,0.314230136,2,0.206793356,"I have been helping my scout troop collect pet food for the animal shelter in our town. My mom helped me set up plastic tubs around our neighborhood. Each tub has a sign asking for donations. Every Monday, I stop by the tubs to see what is there. By next week, I have collected over one hundred cans and bags of food. I cannot wait until we deliver the food to the shelter!"
29179,4,2,0.19267,1.71959,0.314230136,2,0.314230136,"I have been helping my scout troop collect pet food for the animal shelter in our town. My mom helped me set up plastic tubs around our neighborhood. Each tub has a sign asking for donations. Every Monday, I stop by the tubs to see what is there. By next week, I will have collected over one hundred cans and bags of food. I cannot wait until we deliver the food to the shelter!"
29179,4,3,0.19267,1.71959,0.314230136,2,0.108184947,"I have been helping my scout troop collect pet food for the animal shelter in our town. My mom helped me set up plastic tubs around our neighborhood. Each tub has a sign asking for donations. Every Monday, I stop by the tubs to see what is there. By next week, I would have collected over one hundred cans and bags of food. I cannot wait until we deliver the food to the shelter!"
29183,4,0,0.23647,-0.13536,0.447127139,1,0.295843521,"The teacher shook her head as she looked at the mess her students had left in the art room. She had asked them to clean up after themselves yet, they always rushed off before doing so. She would have to find a solution to this problem."
29183,4,1,0.23647,-0.13536,0.447127139,1,0.447127139,"The teacher shook her head as she looked at the mess her students had left in the art room. She had asked them to clean up after themselves, yet they always rushed off before doing so. She would have to find a solution to this problem."
29183,4,2,0.23647,-0.13536,0.447127139,1,0.172677262,"The teacher shook her head as she looked at the mess her students had left in the art room. She had asked them to clean up after themselves, yet, they always rushed off before doing so. She would have to find a solution to this problem."
29183,4,3,0.23647,-0.13536,0.447127139,1,0.084352078,"The teacher shook her head as she looked at the mess her students had left in the art room. She had asked them to clean up after themselves yet they always rushed off, before doing so. She would have to find a solution to this problem."
